,Sentence,Polarity,Pred
10,A world better than 95% of the garbage in the theatres today.  ,1,0
12,Not too screamy not to masculine but just right.  ,1,0
14,I would have casted her in that role after ready the script.  ,1,0
26,"I wish I could enter negative values, admins?  ",0,1
36,"The soundtrack wasn't terrible, either.  ",1,0
38,"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  ",1,0
39,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0,1
43,The last 15 minutes of movie are also not bad as well.  ,1,0
48,My 8/10 score is mostly for the plot.  ,1,0
53,Not even good for camp value!  ,0,1
56,This film (and I use that word loosely) is an insult to the movie-going public.  ,0,1
66,"Whatever the producer was going for, he missed entirely.  ",0,1
72,"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",0,1
80,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0,1
81,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",0,1
85,"This movie was kind of long in length, but I enjoyed every minute of it.  ",1,0
87,"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1,0
95,"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",1,0
99,Later I found myself lost in the power of the film.  ,1,0
101,"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",1,0
113,This is probably the most irritating show I have ever seen in my entire life.  ,0,1
124,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0,1
125,From here on the Widmark character turns unintentionally comical!  ,0,1
128,Whatever prompted such a documentary is beyond me!  ,0,1
136,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0,1
142,"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",1,0
154,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,0,1
177,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,1,0
179,The budget was evidently very limited.  ,0,1
182,Filmiing was less expansive.  ,0,1
